Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp,translated_text,Energy_Category,Aspect_Category,processed_text,Likes_numeric,textblob_sentiment,TextBlob sentiment,TextBlob sentiment_category,bert_sentiment,bert_sentiment category,bert_sentiment_category
David McDonald  x7 dmcd2324.bsky.social,@DMcD_Advocate,,1,1,,34,https://x.com/DMcD_Advocate/status/1778341813809799334,https://x.com/DMcD_Advocate,"Exec Summary
- Australia announces new subsidy policy for renewable energy manufacturing.
- The policy aims to bolster local production of renewable energy equipment.
- It includes subsidies for manufacturing facilities producing solar panels, wind turbines, and batteries.
- The",Apr 11,2024-04-11T08:38:23.000Z,"Exec Summary
- Australia announces new subsidy policy for renewable energy manufacturing.
- The policy aims to bolster local production of renewable energy equipment.
- It includes subsidies for manufacturing facilities producing solar panels, wind turbines, and batteries.
- The",Solar Energy,Policy,exec summary australia announces new subsidy policy renewable energy manufacturing policy aim bolster local production renewable energy equipment includes subsidy manufacturing facility producing solar panel wind turbine battery,1.0,0.06818181818181818,3.14,Neutral,4,Positive,Positive
alan moran,@alan_john_moran,,3,11,1.0,,https://x.com/alan_john_moran/status/1311066751711371265,https://x.com/alan_john_moran,AFR shamelessly maintains its role as the dupe of the renewables subsidy seekers that keep it financially solvent.  It reports Australia cd share in 5 million new renewable energy jobs when its subsidies cost $13 billion a year and destroy low cost energy https://afr.com/companies/energy/renewables-offer-post-pandemic-jobs-boom-20200929-p56067…,"Sep 30, 2020",2020-09-29T22:14:06.000Z,AFR shamelessly maintains its role as the dupe of the renewables subsidy seekers that keep it financially solvent.  It reports Australia cd share in 5 million new renewable energy jobs when its subsidies cost $13 billion a year and destroy low cost energy https://afr.com/companies/energy/renewables-offer-post-pandemic-jobs-boom-20200929-p56067…,Other,Tax,afr shamelessly maintains role dupe renewables subsidy seeker keep financially solvent report australia cd share million new renewable energy job subsidy cost billion year destroy low cost energy httpsafrcomcompaniesenergyrenewablesofferpostpandemicjobsboomp,11.0,-0.015909090909090914,2.97,Negative,1,Very Negative,Very Negative
Alex Wodak AM,@AlexWodak,,5,5,,,https://x.com/AlexWodak/status/1270860420119588864,https://x.com/AlexWodak,"If you want Australia’s fossil fuel subsidy, $29 billion/year, to be 10 (ten) times greater than renewable energy subsidy ($2.8 billion/year) you know who to vote for. Budget repair?","Jun 11, 2020",2020-06-10T23:28:30.000Z,"If you want Australia’s fossil fuel subsidy, $29 billion/year, to be 10 (ten) times greater than renewable energy subsidy ($2.8 billion/year) you know who to vote for. Budget repair?",Other,Tax,want australia fossil fuel subsidy billionyear ten time greater renewable energy subsidy billionyear know vote budget repair,5.0,0.25,3.5,Neutral,1,Very Negative,Very Negative
Mark Brogan,@brgn_mp,,25,62,,,https://x.com/brgn_mp/status/1493880246042447873,https://x.com/brgn_mp,"Dr Helen Haines, Independent MP for Indi in Victoria has introduced a bill to parliament that seeks to include home battery systems in Australia's existing renewable energy subsidy schemes.  #renewables","Feb 16, 2022",2022-02-16T09:29:40.000Z,"Dr Helen Haines, Independent MP for Indi in Victoria has introduced a bill to parliament that seeks to include home battery systems in Australia's existing renewable energy subsidy schemes.  #renewables",Other,Tax,dr helen haines independent mp indi victoria introduced bill parliament seek include home battery system australia existing renewable energy subsidy scheme renewables,62.0,0.0,3.0,Neutral,4,Positive,Positive
Malcolm Ellis,@43a6f0ce5dac4ea,,11,7,1.0,,https://x.com/43a6f0ce5dac4ea/status/989997883897167872,https://x.com/43a6f0ce5dac4ea,"in Australia it's the only subsidy they didn't cut..the govmnt cronies in wood pellet industry get a 'renewable energy subsidy'..ffs..
Old Growth Forests are NOT Renewable...the govmnt cannot show a single one that has been..
the industry must be outlawed globally.. https://x.com/BeAnEarthNut/status/989996199502667776…","Apr 28, 2018",2018-04-27T22:41:03.000Z,"in Australia it's the only subsidy they didn't cut..the govmnt cronies in wood pellet industry get a 'renewable energy subsidy'..ffs..
Old Growth Forests are NOT Renewable...the govmnt cannot show a single one that has been..
the industry must be outlawed globally.. https://x.com/BeAnEarthNut/status/989996199502667776…",Other,Economy,australia subsidy didnt cutthe govmnt crony wood pellet industry get renewable energy subsidyffs old growth forest renewablethe govmnt cannot show single one industry must outlawed globally httpsxcombeanearthnutstatus,7.0,0.007142857142857145,3.01,Neutral,1,Very Negative,Very Negative
Renewables4U,@Renewables_4U,,,2,,134,https://x.com/Renewables_4U/status/1693442860279079227,https://x.com/Renewables_4U,"Large-Scale #RenewableEnergy Target market data in Australia.

The Large-scale Renewable Energy Target creates a financial incentive for the installation of renewable energy power stations. The target is designed to reduce emissions in the electricity sector and encourage","Aug 21, 2023",2023-08-21T02:00:15.000Z,"Large-Scale #RenewableEnergy Target market data in Australia.

The Large-scale Renewable Energy Target creates a financial incentive for the installation of renewable energy power stations. The target is designed to reduce emissions in the electricity sector and encourage",Other,Economy,largescale renewableenergy target market data australia largescale renewable energy target creates financial incentive installation renewable energy power station target designed reduce emission electricity sector encourage,2.0,0.0,3.0,Neutral,5,Very Positive,Very Positive
Clean Energy Finance,@CleanEnergyFC,,4,4,,,https://x.com/CleanEnergyFC/status/1442818122642247684,https://x.com/CleanEnergyFC,"Australia's Energy Security Board proposed a controversial ‘coalkeeper subsidy.’ According to #cleanenergy advocates, these payments could cost consumers up to $6.9 billion a year, and undermine future #CleanEnergy investments.","Sep 28, 2021",2021-09-28T11:47:01.000Z,"Australia's Energy Security Board proposed a controversial ‘coalkeeper subsidy.’ According to #cleanenergy advocates, these payments could cost consumers up to $6.9 billion a year, and undermine future #CleanEnergy investments.",Other,Tax,australia energy security board proposed controversial coalkeeper subsidy according cleanenergy advocate payment could cost consumer billion year undermine future cleanenergy investment,4.0,0.275,3.55,Neutral,1,Very Negative,Very Negative
BusinessToday Malaysia,@BusinessTodayM1,,,,,35,https://x.com/BusinessTodayM1/status/1637309112953479169,https://x.com/BusinessTodayM1,Australia has successfully transitioned to renewable energy driven mostly by the private sector. Why? Because no subsidy!,"Mar 19, 2023",2023-03-19T04:24:46.000Z,Australia has successfully transitioned to renewable energy driven mostly by the private sector. Why? Because no subsidy!,Other,Tax,australia successfully transitioned renewable energy driven mostly private sector subsidy,,0.4166666666666667,3.83,Neutral,5,Very Positive,Very Positive
Old Soldier,@OMGTheMess,,42,123,18.0,3.7K,https://x.com/OMGTheMess/status/1785131077612483055,https://x.com/OMGTheMess,The ANNUAL subsidy to renewable energy in Australia is $16 billion,Apr 30,2024-04-30T02:16:29.000Z,The ANNUAL subsidy to renewable energy in Australia is $16 billion,Other,Tax,annual subsidy renewable energy australia billion,123.0,0.0,3.0,Neutral,1,Very Negative,Very Negative
Rewiring Australia,@RewiringAus,,50,122,5.0,5.4K,https://x.com/RewiringAus/status/1653262572676878337,https://x.com/RewiringAus,"“Swapping out fossil fuelled devices and energy sources for renewable-backed electrification is the fastest, most cost effective way to decarbonise our domestic economy.""","May 2, 2023",2023-05-02T04:58:08.000Z,"“Swapping out fossil fuelled devices and energy sources for renewable-backed electrification is the fastest, most cost effective way to decarbonise our domestic economy.""",Other,Economy,swapping fossil fuelled device energy source renewablebacked electrification fastest cost effective way decarbonise domestic economy,122.0,0.3666666666666667,3.73,Neutral,5,Very Positive,Very Positive
